,wv,bv,f0
0,340,10,93.45747499999999
1,380,10,107.39304999999999
2,400,10,148.92693
3,412,10,176.72969999999998
4,440,10,186.3095
5,443,10,189.72895
6,490,10,193.92055
7,500,10,195.9617
8,510,10,195.85250000000002
9,531,10,190.84314999999998
10,532,10,192.0368
11,551,10,189.90320000000003
12,555,10,187.6023
13,560,10,185.60915
14,620,10,167.83525
15,667,10,154.2979
16,675,10,151.56085000000002
17,681,10,149.534
18,709,10,139.8555
19,779,10,118.61035
20,865,10,94.63915
21,870,10,93.14135
22,1020,10,70.1443
